,period,province,district,count
576,5/1/2018,Western,Mulobezi,4390
577,5/1/2018,Western,Mwandi,746
578,5/1/2018,Western,Nalolo,3863
579,5/1/2018,Western,Nkeyema,6529
580,5/1/2018,Western,Senanga,13738
581,5/1/2018,Western,Sesheke,1883
582,5/1/2018,Western,Shang'ombo,5693
583,5/1/2018,Western,Sikongo,2990
584,5/1/2018,Western,Sioma,2039
585,5/1/2018,NA,NA,32
586,6/1/2018,Central,Chibombo,4051
587,6/1/2018,Central,Chisamba,2073
588,6/1/2018,Central,Chitambo,3081
589,6/1/2018,Central,Itezhi-tezhi,1006
590,6/1/2018,Central,Kabwe,4573
591,6/1/2018,Central,Kapiri-Mposhi,16345
592,6/1/2018,Central,Luano,2418
593,6/1/2018,Central,Mkushi,4991
594,6/1/2018,Central,Mumbwa,1533
595,6/1/2018,Central,Ngabwe,633
596,6/1/2018,Central,Serenje,4500
597,6/1/2018,Central,Shibuyunji,63
598,6/1/2018,Copperbelt,Chililabombwe,3282
599,6/1/2018,Copperbelt,Chingola,3780
600,6/1/2018,Copperbelt,Kalulushi,4247
601,6/1/2018,Copperbelt,Kitwe,8990
602,6/1/2018,Copperbelt,Luanshya,7277
603,6/1/2018,Copperbelt,Lufwanyama,10637
604,6/1/2018,Copperbelt,Masaiti,10083
605,6/1/2018,Copperbelt,Mpongwe,12849
606,6/1/2018,Copperbelt,Mufulira,3040
607,6/1/2018,Copperbelt,Ndola,4882
608,6/1/2018,Eastern,Chadiza,10567
609,6/1/2018,Eastern,Chasefu,7708
610,6/1/2018,Eastern,Chipangali,17913
611,6/1/2018,Eastern,Chipata,14410
612,6/1/2018,Eastern,Kasenengwa,5791
613,6/1/2018,Eastern,Katete,10071
614,6/1/2018,Eastern,Lumezi,13846
615,6/1/2018,Eastern,Lundazi,9010
