period,province,district,Clinical,Confirmed,Tested,Confirmed_Passive_CHW,Tested_Passive_CHW
2018-04-01,Central,Chibombo,NA,6544,15403,NA,NA
2018-04-01,Central,Chisamba,NA,6157,15878,NA,NA
2018-04-01,Central,Chitambo,109,3980,3732,NA,NA
2018-04-01,Central,Itezhi-tezhi,NA,1076,7552,714,2177
2018-04-01,Central,Kabwe,90,7717,19566,NA,NA
2018-04-01,Central,Kapiri-Mposhi,24,36935,35829,NA,NA
2018-04-01,Central,Luano,NA,3243,8968,NA,NA
2018-04-01,Central,Mkushi,109,10080,18415,NA,NA
2018-04-01,Central,Mumbwa,9,1748,8114,1925,5436
2018-04-01,Central,Ngabwe,NA,1123,3170,NA,NA
2018-04-01,Central,Serenje,5,6084,11003,NA,NA
2018-04-01,Central,Shibuyunji,17,137,1336,14,196
2018-04-01,Copperbelt,Chililabombwe,87,3456,9651,NA,NA
2018-04-01,Copperbelt,Chingola,3,6016,1680,NA,NA
2018-04-01,Copperbelt,Kalulushi,43,5452,12596,NA,NA
2018-04-01,Copperbelt,Kitwe,2283,12316,28400,NA,NA
2018-04-01,Copperbelt,Luanshya,525,12976,10079,NA,NA
2018-04-01,Copperbelt,Lufwanyama,1349,14676,3549,NA,NA
2018-04-01,Copperbelt,Masaiti,2003,7690,1426,NA,NA
2018-04-01,Copperbelt,Mpongwe,2474,18152,600,NA,NA
2018-04-01,Copperbelt,Mufulira,259,1404,941,NA,NA
2018-04-01,Copperbelt,Ndola,595,5374,24678,NA,NA
2018-04-01,Eastern,Chadiza,269,11394,17869,NA,NA
2018-04-01,Eastern,Chasefu,419,8605,17582,NA,NA
2018-04-01,Eastern,Chipangali,755,24664,47293,NA,NA
2018-04-01,Eastern,Chipata,21,17332,32347,NA,NA
2018-04-01,Eastern,Kasenengwa,1,7788,16758,NA,NA
2018-04-01,Eastern,Katete,11,9767,28586,NA,NA
2018-04-01,Eastern,Lumezi,NA,16886,25119,NA,NA
2018-04-01,Eastern,Lundazi,211,13544,23670,NA,NA
2018-04-01,Eastern,Lusangazi,3,4848,11428,NA,NA
2018-04-01,Eastern,Mambwe,NA,9069,17637,NA,NA
2018-04-01,Eastern,Nyimba,2,8570,18574,NA,NA
2018-04-01,Eastern,Petauke,137,8715,26635,0,0
2018-04-01,Eastern,Sinda,NA,7455,20535,NA,NA
2018-04-01,Eastern,Vubwi,NA,8932,14370,NA,NA
2018-04-01,Luapula,Chembe,NA,2149,3786,NA,NA
2018-04-01,Luapula,Chienge,174,3210,5422,NA,NA
2018-04-01,Luapula,Chifunabuli,186,5147,8946,NA,NA
2018-04-01,Luapula,Chipili,3,1987,3652,NA,NA
2018-04-01,Luapula,Kawambwa,4,2424,5187,NA,NA
2018-04-01,Luapula,Lunga,14,669,1062,NA,NA
2018-04-01,Luapula,Mansa,1467,14382,24023,NA,NA
2018-04-01,Luapula,Milenge,113,3658,4989,NA,NA
2018-04-01,Luapula,Mwansabombwe,5,1274,3386,NA,NA
2018-04-01,Luapula,Mwense,27,5937,10174,NA,NA
2018-04-01,Luapula,Nchelenge,51,4324,12093,0,0
2018-04-01,Luapula,Samfya,238,5189,8493,NA,NA
2018-04-01,Lusaka,Chilanga,80,267,2677,NA,NA
2018-04-01,Lusaka,Chirundu,NA,306,1764,162,587
2018-04-01,Lusaka,Chongwe,61,771,7296,NA,NA
2018-04-01,Lusaka,Kafue,25,340,3904,30,190
2018-04-01,Lusaka,Luangwa,39,1095,2967,NA,NA
2018-04-01,Lusaka,Lusaka,2977,1141,25262,NA,NA
2018-04-01,Lusaka,Rufunsa,88,6322,11989,NA,NA
2018-04-01,Muchinga,Chama,136,9954,20061,NA,NA
2018-04-01,Muchinga,Chinsali,1,5874,7894,NA,NA
2018-04-01,Muchinga,Isoka,7,4872,10117,NA,NA
2018-04-01,Muchinga,Kanchibiya,49,4698,6807,NA,NA
2018-04-01,Muchinga,Lavushimanda,NA,2588,3501,NA,NA
2018-04-01,Muchinga,Mafinga,41,2270,2391,NA,NA
2018-04-01,Muchinga,Mpika,508,8128,10799,NA,NA
2018-04-01,Muchinga,Nakonde,NA,690,6697,NA,NA
2018-04-01,Muchinga,Shiwang'andu,NA,4518,8941,NA,NA
2018-04-01,Northern,Chilubi,452,3401,4767,NA,NA
2018-04-01,Northern,Kaputa,2,1561,4018,NA,NA
2018-04-01,Northern,Kasama,24,11485,23468,NA,NA
2018-04-01,Northern,Lunte,NA,1432,2500,NA,NA
2018-04-01,Northern,Lupososhi,NA,1500,2804,NA,NA
2018-04-01,Northern,Luwingu,40,2951,4221,NA,NA
2018-04-01,Northern,Mbala,541,2424,8337,NA,NA
2018-04-01,Northern,Mporokoso,NA,842,2454,NA,NA
2018-04-01,Northern,Mpulungu,8,2103,4400,NA,NA
2018-04-01,Northern,Mungwi,293,7236,13439,NA,NA
2018-04-01,Northern,Nsama,NA,624,1254,NA,NA
2018-04-01,Northern,Senga,NA,4323,8593,NA,NA
2018-04-01,Northwestern,Chavuma,41,3514,3379,NA,NA
2018-04-01,Northwestern,Ikelenge,27,4183,9152,NA,NA
2018-04-01,Northwestern,Kabompo,39,4204,7791,NA,NA
2018-04-01,Northwestern,Kalumbila,1349,12561,21626,NA,NA
2018-04-01,Northwestern,Kasempa,180,9098,2402,NA,NA
2018-04-01,Northwestern,Manyinga,115,4524,7495,NA,NA
